Date,Open,High,Low,Close,Volume,Market Cap
14.Dec.17,700.59,753.12,664.99,695.82,"3,821,580,032.00","67,482,947,584.00"
15.Dec.17,696.38,697.13,621.06,684.45,"2,758,710,016.00","67,090,915,328.00"
16.Dec.17,686.19,718.39,680.79,696.21,"2,165,690,112.00","66,124,197,888.00"
17.Dec.17,696.24,735.83,696.24,719.97,"2,147,389,952.00","67,106,369,536.00"
18.Dec.17,721.73,803.93,689.23,794.65,"3,249,230,080.00","69,578,416,128.00"
19.Dec.17,793.90,881.94,785.34,826.82,"4,096,549,888.00","76,552,151,040.00"
20.Dec.17,827.52,845.06,756.00,819.09,"3,969,939,968.00","79,810,617,344.00"
21.Dec.17,820.24,880.54,792.69,821.06,"3,569,060,096.00","79,125,323,776.00"
22.Dec.17,822.64,827.68,543.76,674.86,"4,977,710,080.00","79,374,360,576.00"
23.Dec.17,681.32,763.90,679.73,719.39,"2,480,339,968.00","65,752,117,248.00"
24.Dec.17,721.77,721.77,614.92,694.15,"2,300,549,888.00","69,671,215,104.00"
25.Dec.17,698.87,782.52,698.87,765.83,"2,491,760,128.00","67,475,095,552.00"
26.Dec.17,763.37,786.79,760.93,773.84,"2,201,159,936.00","73,717,784,576.00"
27.Dec.17,774.97,789.25,738.41,762.84,"2,100,029,952.00","74,854,146,048.00"
28.Dec.17,762.21,763.32,701.19,737.02,"2,389,149,952.00","73,637,076,992.00"
29.Dec.17,740.39,770.12,729.61,753.59,"2,648,969,984.00","71,544,307,712.00"
30.Dec.17,753.82,753.82,685.23,717.26,"3,187,780,096.00","72,856,870,912.00"
31.Dec.17,712.21,760.35,710.12,756.73,"2,554,269,952.00","68,850,778,112.00"
1.Jan.18,755.76,782.53,742.00,772.64,"2,595,760,128.00","73,075,769,344.00"
2.Jan.18,772.35,914.83,772.35,884.44,"5,783,349,760.00","74,695,671,808.00"
3.Jan.18,886.00,974.47,868.45,962.72,"5,093,159,936.00","85,703,540,736.00"
4.Jan.18,961.71,1045.08,946.09,980.92,"6,502,859,776.00","93,049,372,672.00"
5.Jan.18,975.75,1075.39,956.33,997.72,"6,683,149,824.00","94,423,851,008.00"
6.Jan.18,995.15,1060.71,994.62,1041.68,"4,662,219,776.00","96,326,549,504.00"
7.Jan.18,1043.01,1153.17,1043.01,1153.17,"5,569,880,064.00","100,981,178,368.00"
8.Jan.18,1158.26,1266.93,1016.05,1148.53,"8,450,970,112.00","112,163,954,688.00"
9.Jan.18,1146.00,1320.98,1145.49,1299.74,"7,965,459,968.00","110,999,126,016.00"
10.Jan.18,1300.34,1417.38,1226.60,1255.82,"9,214,950,400.00","125,975,928,832.00"
11.Jan.18,1268.09,1337.30,1135.17,1154.93,"7,235,899,904.00","122,878,590,976.00"
12.Jan.18,1158.29,1296.04,1120.09,1273.20,"5,222,300,160.00","112,263,086,080.00"
13.Jan.18,1270.47,1432.88,1270.47,1396.42,"5,746,760,192.00","123,162,533,888.00"
14.Jan.18,1397.48,1400.56,1286.21,1366.77,"4,841,630,208.00","135,503,314,944.00"
15.Jan.18,1365.21,1390.59,1290.60,1291.92,"4,781,100,032.00","132,403,560,448.00"
16.Jan.18,1292.63,1292.63,875.54,1053.69,"8,405,139,968.00","125,388,570,624.00"
17.Jan.18,1061.34,1090.23,780.92,1014.25,"8,545,160,192.00","102,973,726,720.00"
18.Jan.18,1016.44,1100.31,967.76,1036.28,"5,938,319,872.00","98,642,083,840.00"
19.Jan.18,1028.82,1093.22,1003.71,1039.10,"4,084,450,048.00","99,863,855,104.00"
20.Jan.18,1044.95,1167.11,1044.95,1155.15,"3,975,190,016.00","101,450,956,800.00"
21.Jan.18,1155.68,1155.68,1021.50,1049.58,"3,378,089,984.00","112,225,746,944.00"
22.Jan.18,1055.35,1089.10,930.74,1003.26,"3,810,099,968.00","102,504,308,736.00"
23.Jan.18,1004.17,1023.23,920.54,986.23,"3,556,699,904.00","97,554,251,776.00"
24.Jan.18,987.48,1062.44,965.81,1058.78,"3,944,039,936.00","95,952,658,432.00"
25.Jan.18,1063.22,1104.66,1034.74,1056.03,"4,050,190,080.00","103,334,617,088.00"
26.Jan.18,1052.70,1080.60,996.78,1055.17,"3,617,690,112.00","102,333,644,800.00"
27.Jan.18,1055.75,1121.98,1042.12,1107.07,"3,002,870,016.00","102,651,150,336.00"
28.Jan.18,1111.78,1257.77,1111.78,1246.01,"5,372,329,984.00","108,121,956,352.00"
29.Jan.18,1246.70,1256.70,1169.08,1182.36,"3,715,079,936.00","121,268,518,912.00"
30.Jan.18,1184.13,1184.63,1058.97,1071.13,"4,107,859,968.00","115,206,995,968.00"
31.Jan.18,1071.09,1128.66,1034.50,1118.31,"3,757,560,064.00","104,230,846,464.00"
1.Feb.18,1119.37,1161.35,984.82,1036.79,"5,261,680,128.00","108,952,059,904.00"
2.Feb.18,1035.77,1035.77,757.98,915.78,"6,713,290,240.00","100,835,745,792.00"
3.Feb.18,919.21,991.94,847.69,964.02,"3,243,480,064.00","89,507,553,280.00"
4.Feb.18,964.67,969.03,805.06,834.68,"2,997,090,048.00","93,953,425,408.00"
5.Feb.18,834.96,856.65,644.60,697.95,"4,269,530,112.00","81,337,360,384.00"
6.Feb.18,707.74,796.44,574.42,793.12,"6,518,269,952.00","68,958,748,672.00"
7.Feb.18,790.43,851.20,723.43,757.07,"3,896,179,968.00","77,031,956,480.00"
8.Feb.18,755.84,845.09,755.84,817.81,"3,708,189,952.00","73,676,865,536.00"
9.Feb.18,818.48,884.00,788.83,883.86,"2,495,820,032.00","79,799,255,040.00"
10.Feb.18,882.47,917.40,825.58,860.41,"2,930,530,048.00","86,055,600,128.00"
11.Feb.18,859.29,859.29,788.22,814.66,"2,486,650,112.00","83,813,031,936.00"
12.Feb.18,817.51,875.94,817.51,868.71,"2,243,450,112.00","79,754,362,880.00"
13.Feb.18,869.29,870.71,828.84,845.26,"2,081,170,048.00","84,824,178,688.00"
14.Feb.18,844.28,926.43,844.28,923.56,"2,818,370,048.00","82,400,600,064.00"
15.Feb.18,923.73,951.95,911.11,936.98,"2,900,100,096.00","90,173,317,120.00"
16.Feb.18,934.79,950.01,917.85,944.21,"2,369,449,984.00","91,272,060,928.00"
17.Feb.18,944.75,976.59,940.75,974.11,"2,525,720,064.00","92,263,997,440.00"
18.Feb.18,973.35,982.93,915.45,923.92,"2,567,290,112.00","95,077,122,048.00"
19.Feb.18,921.67,957.78,921.55,943.86,"2,169,019,904.00","90,047,660,032.00"
20.Feb.18,943.57,965.27,892.95,895.37,"2,545,260,032.00","92,206,530,560.00"
21.Feb.18,894.14,912.38,830.56,849.97,"2,531,729,920.00","87,394,197,504.00"
22.Feb.18,849.26,875.93,802.67,812.84,"2,150,370,048.00","83,025,805,312.00"
23.Feb.18,811.59,886.32,794.79,864.19,"2,334,820,096.00","79,358,885,888.00"
24.Feb.18,861.59,879.53,818.55,840.52,"1,926,579,968.00","84,266,672,128.00"
25.Feb.18,839.46,853.15,822.38,844.81,"1,646,960,000.00","82,119,106,560.00"
26.Feb.18,845.28,880.39,842.32,869.32,"2,044,480,000.00","82,705,440,768.00"
27.Feb.18,870.36,896.26,867.10,878.27,"2,053,980,032.00","85,177,769,984.00"
28.Feb.18,877.93,890.11,855.12,855.20,"1,963,980,032.00","85,936,373,760.00"
1.Mar.18,856.01,880.30,851.92,872.20,"1,868,519,936.00","83,808,206,848.00"
2.Mar.18,871.76,876.38,852.42,856.85,"1,894,419,968.00","85,368,119,296.00"
3.Mar.18,856.71,868.45,855.21,857.22,"1,699,369,984.00","83,911,745,536.00"
4.Mar.18,856.19,867.95,840.28,866.68,"1,697,939,968.00","83,877,822,464.00"
5.Mar.18,866.85,869.92,853.52,853.68,"1,898,489,984.00","84,939,661,312.00"
6.Mar.18,853.82,853.82,809.93,816.95,"1,943,069,952.00","83,680,387,072.00"
7.Mar.18,816.27,825.61,726.55,752.83,"2,175,419,904.00","80,017,293,312.00"
8.Mar.18,752.57,773.77,696.17,704.60,"1,891,640,064.00","73,788,366,848.00"
9.Mar.18,702.20,729.16,648.11,728.92,"2,233,019,904.00","68,863,623,168.00"
10.Mar.18,730.16,748.03,682.70,686.89,"1,532,960,000.00","71,620,730,880.00"
11.Mar.18,685.31,735.83,668.12,723.34,"1,562,680,064.00","67,235,676,160.00"
12.Mar.18,724.41,742.51,683.27,699.83,"1,764,999,936.00","71,086,022,656.00"
13.Mar.18,698.15,713.73,682.35,690.83,"1,425,959,936.00","68,524,040,192.00"
14.Mar.18,691.22,702.78,594.10,614.29,"1,810,560,000.00","67,857,620,992.00"
15.Mar.18,614.84,620.62,579.51,611.30,"1,770,460,032.00","60,371,841,024.00"
16.Mar.18,611.78,623.17,587.86,601.67,"1,417,350,016.00","60,083,740,672.00"
17.Mar.18,601.68,609.15,549.10,552.78,"1,267,810,048.00","59,104,202,752.00"
18.Mar.18,551.64,551.64,460.09,538.64,"2,685,499,904.00","54,200,090,624.00"
19.Mar.18,546.63,558.10,519.12,556.73,"2,046,790,016.00","53,718,638,592.00"
20.Mar.18,556.72,567.09,521.20,557.17,"1,833,680,000.00","54,722,097,152.00"
21.Mar.18,559.10,589.61,550.57,561.73,"1,781,270,016.00","54,967,263,232.00"
22.Mar.18,562.10,577.57,523.09,539.70,"1,523,459,968.00","55,273,844,736.00"
23.Mar.18,539.86,540.49,512.13,539.62,"1,596,349,952.00","53,098,102,784.00"
24.Mar.18,542.57,545.38,526.08,526.44,"1,300,009,984.00","53,375,389,696.00"
25.Mar.18,522.70,535.82,515.66,524.29,"1,151,170,048.00","51,431,555,072.00"
26.Mar.18,524.29,526.38,470.44,489.95,"1,638,880,000.00","51,598,032,896.00"
27.Mar.18,489.59,491.46,449.97,450.12,"1,617,939,968.00","48,193,265,664.00"
28.Mar.18,450.29,466.21,444.86,446.28,"1,514,179,968.00","44,333,998,080.00"
29.Mar.18,448.08,450.81,385.81,385.97,"1,970,230,016.00","44,124,962,816.00"
30.Mar.18,385.90,409.93,368.63,394.64,"1,878,130,048.00","38,010,560,512.00"
31.Mar.18,395.00,418.47,392.95,396.46,"1,323,920,000.00","38,914,854,912.00"
1.Apr.18,397.25,400.53,363.80,379.61,"1,256,930,048.00","39,144,660,992.00"
2.Apr.18,379.70,395.17,377.59,386.42,"1,102,259,968.00","37,422,485,504.00"
3.Apr.18,387.31,418.97,383.53,416.89,"1,363,399,936.00","38,180,753,408.00"
4.Apr.18,416.48,417.47,375.31,380.54,"1,287,730,048.00","41,065,078,784.00"
5.Apr.18,379.95,387.72,369.82,383.23,"1,210,680,064.00","37,470,154,752.00"
6.Apr.18,382.73,385.20,366.91,370.29,"967,105,984.00","37,752,598,528.00"
7.Apr.18,370.38,393.06,369.94,385.31,"951,475,008.00","36,541,886,464.00"
8.Apr.18,385.74,402.59,385.60,400.51,"948,488,000.00","38,065,418,240.00"
9.Apr.18,400.86,429.25,390.61,398.53,"1,478,390,016.00","39,565,053,952.00"
10.Apr.18,399.41,415.89,393.88,414.24,"1,196,000,000.00","39,430,418,432.00"
11.Apr.18,415.02,430.54,412.47,430.54,"1,439,040,000.00","40,980,213,760.00"
12.Apr.18,430.16,493.06,417.41,492.94,"2,519,360,000.00","42,483,642,368.00"
13.Apr.18,493.16,526.47,482.66,492.73,"2,419,249,920.00","48,715,440,128.00"
14.Apr.18,492.58,512.02,488.28,501.48,"1,519,079,936.00","48,668,385,280.00"
15.Apr.18,502.88,531.70,502.88,531.70,"1,726,089,984.00","49,696,276,480.00"
16.Apr.18,532.07,534.20,500.25,511.15,"1,758,979,968.00","52,592,173,056.00"
17.Apr.18,511.14,518.03,502.56,502.89,"1,760,359,936.00","50,533,986,304.00"
18.Apr.18,503.31,525.09,503.05,524.79,"1,762,940,032.00","49,769,598,976.00"
19.Apr.18,524.04,567.89,523.26,567.89,"2,256,869,888.00","51,829,911,552.00"
20.Apr.18,567.99,618.72,560.28,615.72,"2,849,469,952.00","56,188,690,432.00"
21.Apr.18,616.00,621.89,578.55,605.40,"2,612,460,032.00","60,951,126,016.00"
22.Apr.18,606.12,640.77,593.87,621.86,"2,426,269,952.00","59,985,526,784.00"
23.Apr.18,621.20,646.70,621.03,642.55,"2,386,830,080.00","61,490,569,216.00"
24.Apr.18,643.40,708.88,643.40,708.16,"3,581,860,096.00","63,701,196,800.00"
25.Apr.18,707.06,707.06,600.21,615.42,"4,216,140,032.00","70,018,859,008.00"
26.Apr.18,618.08,663.18,604.01,662.81,"2,984,009,984.00","61,219,713,024.00"
27.Apr.18,662.11,684.87,647.03,647.03,"2,598,129,920.00","65,594,621,952.00"
28.Apr.18,644.65,691.44,644.65,683.68,"2,496,659,968.00","63,877,652,480.00"
29.Apr.18,683.91,697.76,670.51,688.88,"2,740,559,872.00","67,782,361,088.00"
30.Apr.18,689.76,694.44,666.12,669.92,"2,853,100,032.00","68,376,399,872.00"
1.May.18,670.46,674.40,637.54,673.61,"2,678,960,128.00","66,477,199,360.00"
2.May.18,674.08,688.84,667.42,687.15,"2,822,269,952.00","66,849,062,912.00"
3.May.18,686.59,784.34,686.59,779.54,"4,210,939,904.00","68,104,626,176.00"
4.May.18,776.78,803.75,762.63,785.62,"3,533,410,048.00","77,066,190,848.00"
5.May.18,784.58,827.46,784.24,816.12,"3,035,040,000.00","77,856,997,376.00"
6.May.18,816.09,835.06,764.88,792.31,"3,105,570,048.00","81,000,235,008.00"
7.May.18,793.34,795.76,710.18,753.72,"4,316,120,064.00","78,758,748,160.00"
8.May.18,755.01,774.25,728.13,752.86,"2,920,489,984.00","74,969,153,536.00"
9.May.18,752.90,759.53,718.47,752.28,"2,877,870,080.00","74,775,298,048.00"
10.May.18,752.58,766.75,726.66,727.28,"2,748,950,016.00","74,758,676,480.00"
11.May.18,727.01,736.98,669.83,679.59,"3,290,080,000.00","72,233,836,544.00"
12.May.18,679.88,691.41,644.07,686.05,"2,668,480,000.00","67,564,580,864.00"
13.May.18,687.17,741.31,675.32,733.50,"2,362,500,096.00","68,304,031,744.00"
14.May.18,732.73,742.17,695.79,730.55,"3,005,110,016.00","72,847,450,112.00"
15.May.18,731.14,739.05,700.99,708.87,"2,523,069,952.00","72,704,294,912.00"
16.May.18,708.09,710.20,682.54,707.05,"2,476,130,048.00","70,426,165,248.00"
17.May.18,708.72,718.83,668.83,672.66,"2,350,619,904.00","70,503,424,000.00"
18.May.18,672.10,695.03,663.81,694.37,"2,305,740,032.00","66,874,667,008.00"
19.May.18,695.07,715.58,686.79,696.53,"2,021,549,952.00","69,174,624,256.00"
20.May.18,697.92,723.75,692.67,715.37,"2,156,910,080.00","69,472,772,096.00"
21.May.18,717.19,719.28,692.49,699.22,"2,005,170,048.00","71,405,764,608.00"
22.May.18,700.18,700.98,644.03,647.74,"2,230,469,888.00","69,726,265,344.00"
23.May.18,646.67,651.64,572.95,583.59,"2,995,429,888.00","64,410,955,776.00"
24.May.18,584.54,610.82,557.21,601.76,"2,791,099,904.00","58,234,437,632.00"
25.May.18,602.14,617.19,575.62,586.73,"2,110,919,936.00","60,000,411,648.00"
26.May.18,587.43,606.17,583.51,587.28,"1,694,300,032.00","58,546,393,088.00"
27.May.18,588.52,590.33,562.87,572.67,"1,788,790,016.00","58,667,597,824.00"
28.May.18,573.04,576.05,512.55,516.04,"2,356,900,096.00","57,136,672,768.00"
29.May.18,516.15,572.26,516.15,565.39,"2,330,820,096.00","51,474,354,176.00"
30.May.18,566.83,583.14,545.43,559.59,"2,053,970,048.00","56,540,450,816.00"
31.May.18,558.50,585.54,557.07,577.65,"1,985,040,000.00","55,720,755,200.00"
1.Jun.18,578.67,589.09,567.66,580.04,"1,945,890,048.00","57,745,653,760.00"
2.Jun.18,580.43,597.08,577.32,591.81,"1,880,390,016.00","57,932,898,304.00"
3.Jun.18,591.26,624.51,591.26,618.33,"1,832,550,016.00","59,026,063,360.00"
4.Jun.18,619.44,623.43,583.75,592.98,"1,903,430,016.00","61,851,828,224.00"
5.Jun.18,593.41,611.33,580.98,609.30,"1,844,269,952.00","59,264,888,832.00"
6.Jun.18,610.26,611.64,596.40,607.12,"1,756,530,048.00","60,960,747,520.00"
7.Jun.18,607.69,616.14,601.69,605.19,"1,880,140,032.00","60,716,105,728.00"
8.Jun.18,605.44,608.81,595.59,601.08,"1,637,779,968.00","60,504,510,464.00"
9.Jun.18,600.91,608.58,597.56,597.56,"1,519,309,952.00","60,063,412,224.00"
10.Jun.18,594.34,594.34,511.89,526.48,"2,234,880,000.00","59,420,127,232.00"
11.Jun.18,524.86,536.86,515.27,533.28,"1,982,119,936.00","52,483,739,648.00"
12.Jun.18,532.71,538.96,491.23,496.84,"1,932,760,064.00","53,280,096,256.00"
13.Jun.18,498.02,501.90,459.00,477.49,"2,080,130,048.00","49,820,487,680.00"
14.Jun.18,478.38,523.54,467.47,519.74,"2,458,650,112.00","47,865,864,192.00"
15.Jun.18,520.48,521.30,487.47,491.00,"1,808,269,952.00","52,088,942,592.00"
16.Jun.18,490.41,503.22,488.85,499.64,"1,314,109,952.00","49,090,068,480.00"
17.Jun.18,499.46,507.64,498.65,500.45,"1,264,870,016.00","50,005,819,392.00"
18.Jun.18,499.38,521.80,494.07,518.89,"1,513,869,952.00","50,008,236,032.00"
19.Jun.18,519.02,542.35,516.31,537.96,"1,726,569,984.00","51,985,747,968.00"
20.Jun.18,538.51,541.02,519.37,536.27,"1,596,290,048.00","53,948,207,104.00"
21.Jun.18,536.45,543.72,524.26,527.37,"1,462,070,016.00","53,752,930,304.00"
22.Jun.18,527.19,527.19,456.88,465.82,"2,226,030,080.00","52,836,593,664.00"
23.Jun.18,466.27,479.13,462.39,474.52,"1,651,379,968.00","46,740,672,512.00"
24.Jun.18,474.77,475.36,426.47,457.67,"2,490,579,968.00","47,601,897,472.00"
25.Jun.18,455.94,470.34,448.90,460.31,"4,007,950,080.00","45,723,099,136.00"
26.Jun.18,460.73,461.21,432.77,432.77,"1,356,560,000.00","46,213,595,136.00"
27.Jun.18,432.24,444.24,424.84,442.36,"1,368,940,032.00","43,364,880,384.00"
28.Jun.18,442.29,443.62,419.68,422.36,"1,360,790,016.00","44,381,904,896.00"
29.Jun.18,422.59,441.79,407.95,436.01,"1,564,499,968.00","42,413,408,256.00"
30.Jun.18,436.21,458.80,436.21,455.18,"1,475,939,968.00","43,789,488,128.00"
1.Jul.18,455.24,457.14,446.39,453.92,"1,511,730,048.00","45,709,529,088.00"
2.Jul.18,453.82,479.13,447.11,475.35,"1,625,789,952.00","45,576,421,376.00"
3.Jul.18,475.39,483.85,462.58,464.20,"1,683,939,968.00","47,751,659,520.00"
4.Jul.18,464.15,481.44,455.18,467.32,"1,549,769,984.00","46,632,648,704.00"
5.Jul.18,467.29,483.23,464.63,474.41,"1,828,610,048.00","46,957,277,184.00"
6.Jul.18,474.36,479.65,457.61,474.01,"1,627,609,984.00","47,677,440,000.00"
7.Jul.18,474.06,491.66,466.84,491.66,"1,358,360,064.00","47,656,947,712.00"
8.Jul.18,492.07,503.20,488.42,489.12,"1,344,560,000.00","49,477,697,536.00"
9.Jul.18,488.88,490.85,475.17,476.68,"1,533,799,936.00","49,166,921,728.00"
10.Jul.18,476.16,478.32,433.96,434.42,"1,789,069,952.00","47,897,903,104.00"
11.Jul.18,434.52,447.32,429.51,446.52,"1,422,470,016.00","43,717,398,528.00"
12.Jul.18,446.50,446.50,422.81,430.07,"1,495,440,000.00","44,932,661,248.00"
13.Jul.18,430.74,442.36,430.74,434.03,"1,489,670,016.00","43,355,430,912.00"
14.Jul.18,434.51,439.43,431.47,436.09,"1,235,820,032.00","43,743,715,328.00"
15.Jul.18,435.88,454.00,433.92,449.85,"1,350,160,000.00","43,890,753,536.00"
16.Jul.18,450.42,480.66,446.80,480.66,"1,858,680,064.00","45,364,322,304.00"
17.Jul.18,480.08,508.78,468.92,501.00,"2,288,100,096.00","48,360,497,152.00"
18.Jul.18,500.84,513.43,474.36,480.51,"2,371,559,936.00","50,462,244,864.00"
19.Jul.18,480.63,483.24,465.14,469.62,"2,068,739,968.00","48,435,744,768.00"
20.Jul.18,469.31,469.31,443.69,450.70,"1,821,350,016.00","47,304,454,144.00"
21.Jul.18,450.68,468.08,445.78,462.44,"1,504,310,016.00","45,435,904,000.00"
22.Jul.18,462.44,470.90,458.12,459.66,"1,338,589,952.00","46,630,920,192.00"
23.Jul.18,459.44,469.77,449.73,450.85,"1,596,999,936.00","46,338,043,904.00"
24.Jul.18,451.14,481.14,450.57,479.37,"2,287,520,000.00","45,509,849,088.00"
25.Jul.18,479.91,482.87,466.47,472.49,"1,930,780,032.00","48,421,990,400.00"
26.Jul.18,472.33,483.70,461.42,464.04,"1,621,560,064.00","47,667,482,624.00"
27.Jul.18,464.01,473.22,458.29,469.67,"1,734,259,968.00","46,837,104,640.00"
28.Jul.18,469.68,471.59,462.99,466.90,"1,531,890,048.00","47,418,966,016.00"
29.Jul.18,466.92,470.36,462.71,466.67,"1,631,910,016.00","47,149,572,096.00"
30.Jul.18,466.83,467.95,448.64,457.08,"2,141,590,000.00","47,150,243,495.00"
31.Jul.18,457.25,457.25,430.44,433.87,"1,820,680,000.00","46,191,809,198.00"
1.Aug.18,433.87,435.46,410.46,420.75,"1,888,060,000.00","43,839,225,862.00"
2.Aug.18,420.81,425.03,410.31,412.62,"1,569,300,000.00","42,527,933,834.00"
3.Aug.18,412.57,420.55,399.91,418.26,"1,722,340,000.00","41,703,717,522.00"
4.Aug.18,418.24,420.19,403.78,407.25,"1,466,540,000.00","42,285,422,559.00"
5.Aug.18,407.35,413.72,402.43,410.52,"1,396,820,000.00","41,192,725,337.00"
6.Aug.18,410.57,414.54,403.32,406.66,"1,384,880,000.00","41,526,865,934.00"
7.Aug.18,406.80,411.41,376.08,380.22,"1,828,350,000.00","41,154,302,930.00"
8.Aug.18,379.89,380.67,353.73,356.61,"2,016,080,000.00","38,439,767,874.00"
9.Aug.18,356.97,370.95,353.61,365.59,"1,616,610,000.00","36,127,750,164.00"
10.Aug.18,365.78,367.05,329.59,334.18,"1,699,400,000.00","37,026,418,724.00"
11.Aug.18,334.26,334.26,308.49,322.11,"1,790,370,000.00","33,843,432,717.00"
12.Aug.18,320.82,328.59,318.60,319.57,"1,625,420,000.00","32,489,149,687.00"
13.Aug.18,320.21,323.55,284.93,286.50,"1,751,190,000.00","32,433,585,929.00"
14.Aug.18,286.37,286.37,254.65,278.93,"2,137,850,000.00","29,011,325,541.00"
15.Aug.18,280.39,303.59,280.12,282.36,"1,878,150,000.00","28,411,365,408.00"
16.Aug.18,282.74,298.48,280.93,288.05,"1,552,970,000.00","28,655,663,078.00"
17.Aug.18,287.68,316.17,287.35,315.73,"1,995,460,000.00","29,162,476,049.00"
18.Aug.18,316.79,320.45,286.55,295.81,"1,764,020,000.00","32,119,577,919.00"
19.Aug.18,295.67,307.10,291.33,300.83,"1,447,910,000.00","29,984,192,045.00"
20.Aug.18,301.38,304.37,273.51,274.32,"1,413,790,000.00","30,569,460,458.00"
21.Aug.18,273.33,285.97,273.33,281.94,"1,164,120,000.00","27,729,942,831.00"
22.Aug.18,281.97,297.49,265.00,271.34,"1,507,660,000.00","28,611,999,411.00"
23.Aug.18,271.75,279.55,271.09,277.10,"1,271,160,000.00","27,580,425,754.00"
24.Aug.18,278.11,283.30,273.86,282.97,"1,450,170,000.00","28,231,866,915.00"
25.Aug.18,283.28,283.52,278.47,279.65,"1,208,360,000.00","28,762,556,561.00"
26.Aug.18,279.53,279.53,272.44,275.20,"1,206,650,000.00","28,386,921,151.00"
27.Aug.18,275.35,285.60,273.65,285.60,"1,406,790,000.00","27,968,567,433.00"
28.Aug.18,286.65,297.40,283.57,296.50,"1,513,350,000.00","29,122,157,621.00"
29.Aug.18,296.16,297.07,287.29,289.31,"1,474,460,000.00","30,094,775,053.00"
